Accession,ProteinName,GeneName,,
P63074,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Eif4e,,
Q5XI72,Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein homolog),Eif4h,,
P0C6R4,Intermediate filament family orphan 2,Iffo2,,
P26376,Interferon-induced transmembrane protein 3 (Dispanin subfamily A member 2b) (DSPA2b),ifitm3,,
P05011,Interferon alpha-1,Ifna1,,
P70499,Interferon beta (IFN-beta),Ifnb1,,
Q5U2N8,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26),Ttc26,,
P83829,Intraflagellar transport protein 81 homolog (Carnitine deficiency-associated protein expressed in ventricle 1) (CDV-1),Ift81,,
P11962,Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain),Cga,,
P01883,Ig delta chain C region (Fragment),,,
Q6WRH9,Immunoglobulin superfamily member 10 (IgSF10) (Calvaria mechanical force protein 608) (CMF608),Igsf10,,
Q5U2P2,Immunoglobulin superfamily member 11 (IgSF11),Igsf11,,
Q9Z0K5,Immunoglobulin superfamily member 6 (IgSF6) (Protein DORA),Igsf6,,
P97697,Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1),Impa1,,
Q9ET62,Interphotoreceptor matrix proteoglycan 1 (Mucin-like glycoprotein associated with photoreceptor cells) (Sialoprotein associated with cones and rods),Impg1,,
Q63060,Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase),Gk,,
Q5BJY3,INO80 complex subunit C,Ino80c,,
Q9Z244,GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1),Gmpr,,
Q4QQS0,Interleukin-1 receptor-associated kinase-like 2 (IRAK-2),Irak2,,
P38406,"Guanine nucleotide-binding protein G(olf) subunit alpha (Adenylate cyclase-stimulating G alpha protein, olfactory type)",Gnal,,
Q6Q7Y5,Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13),Gna13,,
P35570,Insulin receptor substrate 1 (IRS-1) (pp185),Irs1,,
P82471,Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q),Gnaq,,
P63095,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein) (G-alpha-8),Gnas,,
P29348,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain),Gnat3,,
P10824,Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein),Gnai1,,
P19627,Guanine nucleotide-binding protein G(z) subunit alpha (G(x) alpha chain) (Gz-alpha),Gnaz,,
P04897,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),Gnai2,,
Q03386,Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF),Ralgds,,
Q6MG06,Guanine nucleotide-binding protein-like 1,Gnl1,,
Q80W96,"Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA)",Isca1,,
Q6AYB8,Golgin-45 (Basic leucine zipper nuclear factor 1),Blzf1,,
P07490,Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); Prolactin release-inhibiting factor 1 (Prolactin release-inhibiting factor I)],Gnrh1,,
Q535K8,GON-4-like protein (GON-4 homolog) (Protein GON4),Gon4l,,
Q6HA10,Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16),Gdf6,,
P50399,Rab GDP dissociation inhibitor beta (Rab GDI beta) (GDI-3) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2),Gdi2,,
Q07731,Glial cell line-derived neurotrophic factor (Astrocyte-derived trophic factor) (ATF),Gdnf,,
Q6P7D3,Immediate early response gene 2 protein,Ier2,,
Q5PQP0,Immediate early response gene 5-like protein,Ier5l,,
Q9JKU3,Intraflagellar transport protein 172 homolog (Selective LIM-binding factor),Ift172,,
P47819,Glial fibrillary acidic protein (GFAP),Gfap,,
P82808,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),Gfpt1,,
Q62997,GDNF family receptor alpha-1 (GDNF receptor alpha-1) (GDNFR-alpha-1) (GFR-alpha-1) (RET ligand 1) (TGF-beta-related neurotrophic factor receptor 1),Gfra1,,
Q9EPI2,GDNF family receptor alpha-4 (GDNF receptor alpha-4) (GDNFR-alpha-4) (GFR-alpha-4) (Persephin receptor),Gfra4,,
P68101,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha),Eif2s1,,
A0A0G2JV04,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)",Gga3,,
B2GUV7,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Annexin V-binding protein ABP-7) (Translation initiation factor IF-2),Eif5b,,
Q5J2D6,Gametogenetin-binding protein 1,Ggnbp1,,
Q66HC8,Gametogenetin,Ggn,,
Q3L7M0,"N-acetyllactosaminide alpha-1,3-galactosyltransferase (EC 2.4.1.87) (UDP-galactose:beta-D-galactosyl-1,4-N-acetyl-D-glucosaminide alpha-1,3-galactosyltransferase) (Galactosyltransferase)",Ggta1,,
Q505J6,Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18),Slc25a18,,
Q02644,Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR),Ghrhr,,
Q499T2,Gamma-interferon-inducible lysosomal thiol reductase (EC 1.8.-.-) (Interferon gamma inducible protein 30),Ifi30,,
Q8K3K9,GTPase IMAP family member 4 (Immunity-associated nucleotide 1 protein) (IAN-1) (Immunity-associated protein 4),Gimap4,,
Q66H30,Gypsy retrotransposon integrase-like protein 1 (GIN-1),GIN1,,
Q9Z272,ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1),Git1,,
Q5XIG5,G kinase-anchoring protein 1,Gkap1,,
D3ZNQ3,Glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-),Glt6d1,,
Q3B8Q2,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",Eif4a3,,
Q80WL1,Gliomedin [Cleaved into: Gliomedin shedded ectodomain],Gldn,,
D4A2Q0,Fibronectin type III domain-containing protein 10,Fndc10,,
Q4V7A4,Fibrous sheath CABYR-binding protein,Fscb,,
Q2A121,Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-),Fto,,
Q62994,"Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)",Fut4,,
P59647,FXYD domain-containing ion transport regulator 5,Fxyd5,,
P41137,DNA-binding protein inhibitor ID-2 (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2),Id2,,
Q68FX0,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",Idh3B,,
P41562,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),Idh1,,
P41565,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)",Idh3g,,
Q9Z0J6,Growth/differentiation factor 15 (GDF-15),Gdf15,,
P22717,Guanylate cyclase soluble subunit beta-2 (GCS-beta-2) (EC 4.6.1.2),Gucy1b2,,
P50398,Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1),Gdi1,,
Q0VGK4,Lysophospholipase D GDPD1 (EC 3.1.4.39) (Glycerophosphodiester phosphodiesterase 4) (Glycerophosphodiester phosphodiesterase domain-containing protein 1),Gdpd1,,
Q4FZV3,"Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal)",Dnali1,,
Q68FP1,Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin),Gsn,,
Q03555,Gephyrin (Putative glycine receptor-tubulin linker protein) [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)],Gphn,,
Q62867,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase),Ggh,,
Q6IE08,Glutathione hydrolase 6 (EC 3.4.19.13) (Gamma-glutamyltransferase 6) (GGT 6) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 6) [Cleaved into: Glutathione hydrolase 6 heavy chain; Glutathione hydrolase 6 light chain],Ggt6,,
Q5XIA8,Growth hormone-inducible transmembrane protein (Mitochondrial morphology and cristae structure 1) (MICS1),Ghitm,,
Q9QYH7,Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) [Cleaved into: Ghrelin; Obestatin-23; Obestatin-13],Ghrl,,
Q5RKI1,Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2),Eif4a2,,
P17164,Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1),Fuca1,,
Q08464,Frizzled-2 (Fz-2) (rFz2),Fzd2,,
Q8K3L6,GTPase IMAP family member 5 (Immunity-associated nucleotide 4 protein) (IAN-4) (Immunity-associated nucleotide 4-like 1 protein),Gimap5,,
Q5FVN6,GTPase IMAP family member 6 (Immunity-associated nucleotide 6 protein) (IAN-6),Gimap6,,
Q4KLG2,GTPase IMAP family member 8 (Immune-associated nucleotide-binding protein 9) (IAN-9) (Protein IanT),Gimap8,,
B0BMZ3,GTPase IMAP family member GIMD1 (GIMAP family P-loop NTPase domain-containing protein 1),Gimd1,,
Q06145,Gastric inhibitory polypeptide (GIP) (Glucose-dependent insulinotropic polypeptide),Gip,,
Q29TV8,Gastrokine-2 (Blottin),Gkn2,,
Q04807,Glycosylation-dependent cell adhesion molecule 1 (GlyCAM-1) (Endothelial ligand FOR L-selectin) (SGP50) (Sulfated 50 kDa glycoprotein),Glycam1,,
Q5U315,Poly(A) RNA polymerase GLD2 (EC 2.7.7.19) (PAP-associated domain-containing protein 4) (Terminal nucleotidyltransferase 2),Tent2,,
O35826,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)],Gne,,
Q3T1J1,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (eIF-4D),Eif5a,,
Q3KRD8,Eukaryotic translation initiation factor 6 (eIF-6),Eif6,,
P01581,Interferon gamma (IFN-gamma),Ifng,,
P20695,Interferon-related developmental regulator 1 (IRPR) (Nerve growth factor-inducible protein PC4),Ifrd1,,
Q5FVJ7,Intraflagellar transport protein 22 homolog (Rab-like protein 5),Ift22,,
P17267,Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF),Cblif,,
Q925N6,Immunoglobulin superfamily member 1 (IgSF1) (Inhibin-binding protein) (InhBP),Igsf1,,
Q5VJ70,Immunoglobulin superfamily member 5 (IgSF5) (Junctional adhesion molecule 4) (JAM-4),Igsf5,,
O88618,Formimidoyltransferase-cyclodeaminase (58 kDa microtubule-binding protein) (Formiminotransferase-cyclodeaminase) (FTCD) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)],Ftcd,,
P85845,Fascin,Fscn1,,
P80348,Fuctinin-2 (Fucosyltransferase inhibitor 2) (Fragment),,,
Q7M733,Hermansky-Pudlak syndrome 6 protein homolog (Ruby-eye protein homolog) (Ruby-eye-like protein) (Ru),Hps6,,
P23377,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE) (Prohormone convertase 3),Furin,,
Q5M840,G0/G1 switch protein 2 (G0S2-like protein),G0s2,,
Q8CHL0,Frizzled-5 (Fz-5),Fzd5,,
Q9QYC5,G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2) (G-protein coupled receptor CNS2),Gpr37l1,,
O88626,Galanin receptor type 3 (GAL3-R) (GALR-3),Galr3,,
Q9JL55,Glycerophosphodiester phosphodiesterase 1 (EC 3.1.4.-) (EC 3.1.4.44) (Membrane-interacting protein of RGS16),Gde1,,
O35312,Growth/differentiation factor 8 (GDF-8) (Myostatin),Mstn,,
P20595,Guanylate cyclase soluble subunit beta-1 (GCS-beta-1) (EC 4.6.1.2) (Guanylate cyclase soluble subunit beta-3) (GCS-beta-3) (Soluble guanylate cyclase small subunit),Gucy1b1,,
Q9QZP1,Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1),Gemin2,,
Q6VV72,Eukaryotic translation initiation factor 1A (eIF-1A) (Eukaryotic translation initiation factor 4C) (eIF-4C) (Liver regeneration-related protein LRRG048),Eif1a,,
Q07120,Zinc finger protein Gfi-1 (Growth factor independent protein 1),Gfi1,,
Q4KMC4,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2),Gfpt2,,
D3ZB94,GDNF family receptor alpha-like,Gfral,,
P70552,GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35),Gchfr,,
Q8CGX0,Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (B-actin zipcode-binding protein 1) (ZBP1) (rZBP-1) (IGF-II mRNA-binding protein 1) (VICKZ family member 1),Igf2bp1,,
Q4KM86,Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase),Ggact,,
P81795,"Eukaryotic translation initiation factor 2 subunit 3, X-linked (Eukaryotic translation initiation factor 2 subunit gamma, X-linked) (eIF-2-gamma) (eIF-2-gamma X) (PP42)",Eif2s3,,
C9WPN6,"Eukaryotic translation initiation factor 2 subunit 3, Y-linked (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y)",Eif2s3y,,
P10867,L-gulonolactone oxidase (LGO) (EC 1.1.3.8) (L-gulono-gamma-lactone oxidase) (GLO),Gulo,,
Q6GVH5,Gametogenetin-binding protein 2 (Protein ZNF403),Ggnbp2,,
P52287,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 (Transducin beta chain 3),Gnb3,,
P20236,Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3),Gabra3,,
Q63663,Guanylate-binding protein 1 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2) (p67),Gbp2,,
P60517,Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein),Gabarap,,
Q0VGK0,Gamma-aminobutyric acid receptor-associated protein-like 1 (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1),Gabarapl1,,
P47742,Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABA(C) receptor),Gabrr2,,
B5DFK3,Homeobox protein Hox-D9,Hoxd9,,
P27881,Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II),Hk2,,
P24594,Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5),Igfbp5,,
P35572,Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6),Igfbp6,,
Q6RUG5,Islet cell autoantigen 1-like protein (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 15 protein homolog) (Ica69-related protein),Ica1l,,
Q63054,Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69),Ica1,,
Q62726,Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Intestinal cell kinase) (MAK-related kinase) (MRK),Ick,,
Q04753,"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln))",Clns1a,,
P41135,DNA-binding protein inhibitor ID-1 (Inhibitor of DNA binding 1) (Inhibitor of differentiation 1),Id1,,
P41138,DNA-binding protein inhibitor ID-3 (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3),Id3,,
P35559,Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin),Ide,,
Q99NA5,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)",Idh3a,,
P56574,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",Idh2,,
P16261,Graves disease carrier protein (GDC) (Mitochondrial solute carrier protein homolog) (Solute carrier family 25 member 16) (Fragment),Slc25a16,,
Q66H63,Ganglioside-induced differentiation-associated-protein 2,Gdap2,,
Q9Z217,Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11),Gdf11,,
P07092,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2),Serpine2,,
P18865,Homeobox protein Hox-C4 (Homeobox protein R3) (Fragment),Hoxc4,,
Q9ES14,Gamma-aminobutyric acid receptor subunit epsilon (GABA(A) receptor subunit epsilon),Gabre,,
P60522,Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16),Gabarapl2,,
O09028,Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi),Gabrp,,
P50572,Gamma-aminobutyric acid receptor subunit rho-1 (GABA(A) receptor subunit rho-1) (GABA(C) receptor),Gabrr1,,
P18508,Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2),Gabrg2,,
P05708,Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I),Hk1,,
P22288,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),Gch1,,
P27926,Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III),Hk3,,
Q76HN1,Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1),Hyal1,,
Q62803,Hyaluronidase PH-20 (Hyal-PH20) (EC 3.2.1.35) (Hyaluronoglucosaminidase PH-20) (Sperm adhesion molecule 1) (Sperm surface antigen 2B1) (Sperm surface protein PH-20),Spam1,,
Q9Z288,Chorion-specific transcription factor GCMa (GCM motif protein 1) (Glial cells missing homolog 1),Gcm1,,
Q63617,Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150),Hyou1,,
Q2V057,Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2) (Proline oxidase-like protein),Prodh2,,
Q99MF4,Interleukin-11 receptor subunit alpha (IL-11 receptor subunit alpha) (IL-11R subunit alpha) (IL-11R-alpha) (IL-11RA),Il11ra1,,
Q8VHK6,Interleukin-13 receptor subunit alpha-2 (IL-13 receptor subunit alpha-2) (IL-13R subunit alpha-2) (IL-13R-alpha-2) (IL-13RA2) (CD antigen CD213a2),Il13ra2,,
Q6AXU3,Interferon-stimulated 20 kDa exonuclease-like 2 (EC 3.1.-.-),Isg20l2,,
Q9ERD9,"Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)",Ido1,,
P06536,Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),Nr3c1,,
Q5EIC4,Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like) (Polyglutamine-containing protein),Irf2bpl,,
P12843,Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2) (BRL-BP),Igfbp2,,
P15473,Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3),Igfbp3,,
P21744,Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4),Igfbp4,,
Q6P734,Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1),Serping1,,
P27321,Calpastatin (Calpain inhibitor),Cast,,
Q00238,Intercellular adhesion molecule 1 (ICAM-1) (CD antigen CD54),Icam1,,
